lat,lon,year,potential_evaporation
45.25,9.75,2003,1182.7743835449219
45.25,9.75,2004,1017.5278053283691
45.25,9.75,2005,965.4652805328369
45.25,9.75,2006,1077.3611001968384
45.25,9.75,2007,1024.995723247528
45.25,9.75,2008,899.3611149787903
45.25,9.75,2009,1060.31640625
45.25,9.75,2010,884.9887509346008
45.25,9.75,2011,987.468376159668
45.25,9.75,2012,1044.954472541809
45.25,9.75,2013,929.116539478302
45.25,9.75,2014,842.5022735595703
45.25,9.75,2015,1002.838924407959
45.25,9.75,2016,941.3809914588928
45.25,10.25,1982,901.5099430084229
45.25,10.25,1983,901.5417709350586
45.25,10.25,1984,839.780478477478
45.25,10.25,1985,952.6808376312256
45.25,10.25,1986,889.4373450279236
45.25,10.25,1987,976.0297026634216
45.25,10.25,1988,891.6125612258911
45.25,10.25,1989,870.687403678894
45.25,10.25,1990,972.990159034729
45.25,10.25,1991,1033.043297290802
45.25,10.25,1992,1001.4300951957703
45.25,10.25,1993,1023.4930748939514
45.25,10.25,1994,969.7047686576843
45.25,10.25,1995,893.5330748558044
45.25,10.25,1996,986.5535597801208
45.25,10.25,1997,1035.217309474945
45.25,10.25,1998,1076.502040863037
45.25,10.25,1999,971.8879880905151
45.25,10.25,2000,1018.8471360206604
45.25,10.25,2001,1029.243601322174
45.25,10.25,2002,851.8585076332092
45.25,10.25,2003,1201.7592549324036
45.25,10.25,2004,1004.0374369621277
45.25,10.25,2005,948.7941498756409
45.25,10.25,2006,1053.9165263175964
45.25,10.25,2007,1017.2782874107361
45.25,10.25,2008,936.3739638328552
45.25,10.25,2009,1063.797414779663
45.25,10.25,2010,888.8781175613403
45.25,10.25,2011,979.9305486679077
45.25,10.25,2012,1065.1133108139038
45.25,10.25,2013,941.7767019271851
45.25,10.25,2014,852.56547498703
45.25,10.25,2015,1054.502408504486
45.25,10.25,2016,962.2641124725342
45.25,10.75,1982,936.0426268577576
45.25,10.75,1983,926.1470856666565
45.25,10.75,1984,850.3277292251587
45.25,10.75,1985,964.552360534668
45.25,10.75,1986,917.9593381881714
45.25,10.75,1987,1000.835437297821
45.25,10.75,1988,922.4952549934387
45.25,10.75,1989,864.3587455749512
45.25,10.75,1990,999.8529744148254
45.25,10.75,1991,1028.50763463974
45.25,10.75,1992,1053.1899542808533
45.25,10.75,1993,1065.6649260520935
45.25,10.75,1994,992.094476222992
45.25,10.75,1995,885.9356870651245
45.25,10.75,1996,1007.9478363990784
45.25,10.75,1997,1054.868278503418
45.25,10.75,1998,1119.2193026542664
45.25,10.75,1999,984.4754490852356
45.25,10.75,2000,1058.9705510139465
45.25,10.75,2001,1035.9840641021729
45.25,10.75,2002,864.1153964996338
45.25,10.75,2003,1213.5045938491821
45.25,10.75,2004,1021.80211353302
45.25,10.75,2005,953.4535765647888
45.25,10.75,2006,1053.8176321983337
45.25,10.75,2007,1012.371636390686
45.25,10.75,2008,958.1676526069641
45.25,10.75,2009,1100.7271609306335
45.25,10.75,2010,890.1234102249146
45.25,10.75,2011,1007.1221284866333
45.25,10.75,2012,1126.4860677719116
45.25,10.75,2013,957.1973462104797
45.25,10.75,2014,871.6922426223755
45.25,10.75,2015,1097.6767845153809
45.25,10.75,2016,986.086226940155
45.25,11.25,1982,891.6762084960938
45.25,11.25,1983,889.1449770927429
45.25,11.25,1984,803.5850801467896
45.25,11.25,1985,910.2164378166199
45.25,11.25,1986,913.9601945877075
45.25,11.25,1987,943.5220041275024
45.25,11.25,1988,899.5411024093628
45.25,11.25,1989,822.2877840995789
45.25,11.25,1990,960.6390919685364
45.25,11.25,1991,961.088014125824
45.25,11.25,1992,1012.8870406150818
45.25,11.25,1993,1035.4692635536194
45.25,11.25,1994,980.4570350646973
45.25,11.25,1995,844.2116103172302
45.25,11.25,1996,966.8073043823242
45.25,11.25,1997,986.8296008110046
45.25,11.25,1998,1082.6731538772583
45.25,11.25,1999,959.4886360168457
45.25,11.25,2000,1040.985544681549
45.25,11.25,2001,991.561439037323
45.25,11.25,2002,833.8335118293762
45.25,11.25,2003,1161.5902495384216
45.25,11.25,2004,1001.1459083557129
45.25,11.25,2005,939.8838510513306
45.25,11.25,2006,1020.7021450996399
45.25,11.25,2007,971.6220798492432
45.25,11.25,2008,914.6232466697693
45.25,11.25,2009,1052.5049810409546
45.25,11.25,2010,837.6272015571594
45.25,11.25,2011,994.9807319641113
45.25,11.25,2012,1122.2692275047302
45.25,11.25,2013,919.6133499145508
45.25,11.25,2014,830.569990158081
45.25,11.25,2015,1052.928361415863
45.25,11.25,2016,966.5393590927124
45.25,11.75,1982,868.1118850708008
45.25,11.75,1983,895.5021352767944
45.25,11.75,1984,811.6142754554749
45.25,11.75,1985,898.5257067680359
45.25,11.75,1986,927.8661599159241
45.25,11.75,1987,955.9013986587524
45.25,11.75,1988,902.5750470161438
45.25,11.75,1989,815.7151622772217
45.25,11.75,1990,960.8903541564941
45.25,11.75,1991,943.651575088501
45.25,11.75,1992,1000.8594179153442
45.25,11.75,1993,1062.5331602096558
45.25,11.75,1994,1010.9404292106628
45.25,11.75,1995,842.0946073532104
45.25,11.75,1996,980.9234533309937
45.25,11.75,1997,987.9230108261108
45.25,11.75,1998,1064.111090183258
45.25,11.75,1999,960.2956299781799
45.25,11.75,2000,1086.5135068893433
45.25,11.75,2001,977.95823097229
45.25,11.75,2002,839.8103995323181
45.25,11.75,2003,1138.5126738548279
45.25,11.75,2004,997.2003331184387
45.25,11.75,2005,950.7545952796936
45.25,11.75,2006,993.4700198173523
45.25,11.75,2007,975.4354004859924
45.25,11.75,2008,901.4946117401123
45.25,11.75,2009,1029.4099321365356
45.25,11.75,2010,844.5649809837341
45.25,11.75,2011,1030.4577045440674
45.25,11.75,2012,1143.7915172576904
45.25,11.75,2013,918.7701392173767
45.25,11.75,2014,839.7330665588379
45.25,11.75,2015,1034.5189490318298
45.25,11.75,2016,957.9938950538635
45.75,7.75,1982,802.9901225566864
45.75,7.75,1983,754.0010147094727
45.75,7.75,1984,755.6657774448395
45.75,7.75,1985,887.0395040512085
45.75,7.75,1986,825.7513544559479
45.75,7.75,1987,838.0897841453552
45.75,7.75,1988,791.5484762191772
45.75,7.75,1989,872.4771595001221
45.75,7.75,1990,943.4056534767151
45.75,7.75,1991,994.5219383239746
45.75,7.75,1992,789.2826142311096
45.75,7.75,1993,851.7603545188904
45.75,7.75,1994,907.8241817951202
45.75,7.75,1995,809.9738945960999
45.75,7.75,1996,840.1563186645508
45.75,7.75,1997,861.5435423851013
45.75,7.75,1998,963.6175637245178
45.75,7.75,1999,794.9937484264374
45.75,7.75,2000,924.5116934776306
45.75,7.75,2001,900.4355535507202
45.75,7.75,2002,795.5505087375641
45.75,7.75,2003,1130.8913760185242
45.75,7.75,2004,927.4465775489807
45.75,7.75,2005,959.7116785049438
45.75,7.75,2006,976.8522033691406
45.75,7.75,2007,952.4183344841003
45.75,7.75,2008,816.2502212524414
45.75,7.75,2009,907.1936058998108
45.75,7.75,2010,842.171492099762
45.75,7.75,2011,951.1023387908936
45.75,7.75,2012,919.8759727478027
45.75,7.75,2013,862.2101774215698
45.75,7.75,2014,816.328537940979
45.75,7.75,2015,935.9211349487305
45.75,7.75,2016,935.747875213623
45.75,8.25,1982,937.1893196105957
45.75,8.25,1983,957.4564020633698
45.75,8.25,1984,894.8096170425415
45.75,8.25,1985,985.4257078170776
45.75,8.25,1986,964.8464689254761
45.75,8.25,1987,971.4321074485779
45.75,8.25,1988,918.5133090019226
45.75,8.25,1989,1061.6904678344727
45.75,8.25,1990,1062.6389994621277
45.75,8.25,1991,1171.3910846710205
45.75,8.25,1992,929.0522022247314
45.75,8.25,1993,989.1171822547913
45.75,8.25,1994,1059.3165302276611
45.75,8.25,1995,1029.5277915000916
45.75,8.25,1996,984.7018852233887
45.75,8.25,1997,1001.6734004020691
45.75,8.25,1998,1071.814977645874
45.75,8.25,1999,938.0887398719788
45.75,8.25,2000,1040.6801104545593
45.75,8.25,2001,1063.5353178977966
45.75,8.25,2002,935.5157861709595
45.75,8.25,2003,1333.5757551193237
45.75,8.25,2004,1127.5423345565796
45.75,8.25,2005,1135.5851645469666
45.75,8.25,2006,1187.4908385276794
45.75,8.25,2007,1074.3247413635254
45.75,8.25,2008,947.3672180175781
45.75,8.25,2009,1106.0511617660522
45.75,8.25,2010,1023.1304636001587
45.75,8.25,2011,1104.0750484466553
45.75,8.25,2012,1060.792362689972
45.75,8.25,2013,1042.938280582428
45.75,8.25,2014,982.9824714660645
45.75,8.25,2015,1049.8276834487915
45.75,8.25,2016,1090.4423542022705
45.75,8.75,1982,755.9830207824707
45.75,8.75,1983,799.1261565685272
45.75,8.75,1984,759.9386646747589
45.75,8.75,1985,804.1455464363098
45.75,8.75,1986,790.341824054718
45.75,8.75,1987,789.1049251556396
45.75,8.75,1988,732.7677900791168
45.75,8.75,1989,869.5401582717896
45.75,8.75,1990,846.9966135025024
45.75,8.75,1991,959.1288924217224
45.75,8.75,1992,747.3056745529175
45.75,8.75,1993,805.2291011810303
45.75,8.75,1994,839.2266178131104
45.75,8.75,1995,813.8255486488342
45.75,8.75,1996,794.0315933227539
45.75,8.75,1997,828.8982586860657
45.75,8.75,1998,869.0840559005737
45.75,8.75,1999,785.6092500686646
45.75,8.75,2000,840.0367078781128
45.75,8.75,2001,883.3341879844666
45.75,8.75,2002,744.7259578704834
45.75,8.75,2003,1065.7794909477234
45.75,8.75,2004,941.2421579360962
45.75,8.75,2005,940.2168498039246
45.75,8.75,2006,974.2883410453796
45.75,8.75,2007,888.383113861084
45.75,8.75,2008,757.8055410385132
45.75,8.75,2009,923.5646414756775
45.75,8.75,2010,863.2711577415466
45.75,8.75,2011,888.4381051063538
45.75,8.75,2012,869.5895690917969
45.75,8.75,2013,844.8342843055725
45.75,8.75,2014,788.6614937782288
45.75,8.75,2015,839.7898397445679
45.75,8.75,2016,850.1399765014648
45.75,9.25,1982,749.8954701423645
45.75,9.25,1983,790.5131125450134
45.75,9.25,1984,746.3478255271912
45.75,9.25,1985,788.8161873817444
45.75,9.25,1986,757.3495578765869
45.75,9.25,1987,780.8916110992432
45.75,9.25,1988,716.9650900363922
45.75,9.25,1989,810.8221311569214
45.75,9.25,1990,802.4961214065552
45.75,9.25,1991,898.4069056510925
45.75,9.25,1992,746.8480491638184
45.75,9.25,1993,797.2102589607239
45.75,9.25,1994,828.3303742408752
45.75,9.25,1995,777.4449172019958
45.75,9.25,1996,788.0476603507996
45.75,9.25,1997,814.9386219978333
45.75,9.25,1998,857.4834208488464
45.75,9.25,1999,775.792489528656
45.75,9.25,2000,838.6960878372192
45.75,9.25,2001,882.6926941871643
45.75,9.25,2002,720.9147481918335
45.75,9.25,2003,1028.9344878196716
45.75,9.25,2004,886.69415807724
45.75,9.25,2005,894.3373141288757
45.75,9.25,2006,945.0902485847473
45.75,9.25,2007,885.2892022132874
45.75,9.25,2008,739.7864127159119
45.75,9.25,2009,905.1210861206055
45.75,9.25,2010,826.6785564422607
45.75,9.25,2011,853.1214056015015
45.75,9.25,2012,848.6964535713196
45.75,9.25,2013,819.6243329048157
45.75,9.25,2014,765.9963145256042
45.75,9.25,2015,830.553168296814
45.75,9.25,2016,810.298665523529
45.75,9.75,1982,872.0086073875427
45.75,9.75,1983,910.3949680328369
45.75,9.75,1984,866.6199049949646
45.75,9.75,1985,916.7076811790466
45.75,9.75,1986,879.7121381759644
45.75,9.75,1987,910.5333404541016
45.75,9.75,1988,840.7981495857239
45.75,9.75,1989,891.7134327888489
45.75,9.75,1990,925.2380361557007
45.75,9.75,1991,988.478907585144
45.75,9.75,1992,900.9135904312134
45.75,9.75,1993,953.6910467147827
45.75,9.75,1994,979.5918521881104
45.75,9.75,1995,881.5639791488647
45.75,9.75,1996,921.3418884277344
45.75,9.75,1997,939.8126788139343
45.75,9.75,1998,1007.9415273666382
45.75,9.75,1999,879.9601011276245
45.75,9.75,2000,1003.8317928314209
45.75,9.75,2001,1030.3082475662231
45.75,9.75,2002,841.585325717926
45.75,9.75,2003,1186.5189108848572
45.75,9.75,2004,985.5648856163025
45.75,9.75,2005,1003.3701872825623
45.75,9.75,2006,1067.279469013214
45.75,9.75,2007,1031.1404180526733
45.75,9.75,2008,871.5424356460571
45.75,9.75,2009,1031.2614936828613
45.75,9.75,2010,916.149450302124
45.75,9.75,2011,964.543402671814
45.75,9.75,2012,985.9111547470093
45.75,9.75,2013,944.3323245048523
45.75,9.75,2014,886.7705345153809
45.75,9.75,2015,982.1721873283386
45.75,9.75,2016,940.8543286323547
45.75,10.25,1982,1017.7772445678711
45.75,10.25,1983,1076.7152242660522
45.75,10.25,1984,1006.3169088363647
45.75,10.25,1985,1054.2805995941162
45.75,10.25,1986,1047.7412586212158
45.75,10.25,1987,1053.0471992492676
45.75,10.25,1988,994.7572407722473
45.75,10.25,1989,1013.0705151557922
45.75,10.25,1990,1102.598979473114
45.75,10.25,1991,1106.2017226219177
45.75,10.25,1992,1118.1618356704712
45.75,10.25,1993,1130.9184284210205
45.75,10.25,1994,1167.6148447990417
45.75,10.25,1995,1017.3145318031311
45.75,10.25,1996,1078.2621216773987
45.75,10.25,1997,1091.534014225006
45.75,10.25,1998,1167.925956249237
45.75,10.25,1999,1021.4882674217224
45.75,10.25,2000,1178.9420194625854
45.75,10.25,2001,1208.478811264038
45.75,10.25,2002,989.2825784683228
45.75,10.25,2003,1448.2527179718018
45.75,10.25,2004,1105.270830631256
45.75,10.25,2005,1126.421823501587
45.75,10.25,2006,1224.6320338249207
45.75,10.25,2007,1168.6609354019165
45.75,10.25,2008,1041.9000449180603
45.75,10.25,2009,1177.6682472229004
45.75,10.25,2010,1041.701334476471
45.75,10.25,2011,1123.8136801719666
45.75,10.25,2012,1178.3037948608398
45.75,10.25,2013,1121.252438545227
45.75,10.25,2014,1021.9992365837097
45.75,10.25,2015,1186.9901032447815
45.75,10.25,2016,1107.3886814117432
45.75,10.75,1982,827.222822189331
45.75,10.75,1983,865.0894536972046
45.75,10.75,1984,781.6828320026398
45.75,10.75,1985,836.4690961837769
45.75,10.75,1986,827.7905535697937
45.75,10.75,1987,825.4251456260681
45.75,10.75,1988,815.76837682724
45.75,10.75,1989,804.4668164253235
45.75,10.75,1990,897.2874526977539
45.75,10.75,1991,851.8354454040527
45.75,10.75,1992,897.8184633255005
45.75,10.75,1993,901.6088342666626
45.75,10.75,1994,927.9398488998413
45.75,10.75,1995,832.7512722015381
45.75,10.75,1996,864.0767240524292
45.75,10.75,1997,872.23118019104
45.75,10.75,1998,943.3327598571777
45.75,10.75,1999,820.093047618866
45.75,10.75,2000,939.7083606719971
45.75,10.75,2001,937.6196503639221
45.75,10.75,2002,806.9819808006287
45.75,10.75,2003,1102.573860168457
45.75,10.75,2004,883.3582510948181
45.75,10.75,2005,882.1891736984253
45.75,10.75,2006,960.8724727630615
45.75,10.75,2007,929.0442018508911
45.75,10.75,2008,852.3074254989624
45.75,10.75,2009,951.4846229553223
45.75,10.75,2010,834.4263677597046
45.75,10.75,2011,914.0812678337097
45.75,10.75,2012,936.4265975952148
45.75,10.75,2013,912.2201991081238
45.75,10.75,2014,835.5494222640991
45.75,10.75,2015,968.9941592216492
45.75,10.75,2016,902.5800318717957
45.75,11.25,1982,1079.8403868675232
45.75,11.25,1983,1163.7220206260681
45.75,11.25,1984,1021.600462436676
45.75,11.25,1985,1090.1753816604614
45.75,11.25,1986,1119.1700420379639
45.75,11.25,1987,1085.4327025413513
45.75,11.25,1988,1101.3359537124634
