lat,lon,year,yield_maize
45.25,7.25,2007,14.800556
45.25,7.25,2008,13.141292
45.25,7.25,2009,14.102747
45.25,7.25,2010,12.992539
45.25,7.25,2011,14.971903
45.25,7.25,2012,12.94494
45.25,7.25,2013,13.5169735
45.25,7.25,2014,15.030984
45.25,7.25,2015,14.198391
45.25,7.25,2016,14.742079
45.25,7.75,1982,9.263946
45.25,7.75,1983,9.133717
45.25,7.75,1984,8.951273
45.25,7.75,1985,9.656939
45.25,7.75,1986,10.05941
45.25,7.75,1987,8.949484
45.25,7.75,1988,9.670952
45.25,7.75,1989,10.53953
45.25,7.75,1990,9.20326
45.25,7.75,1991,9.557342
45.25,7.75,1992,11.015972
45.25,7.75,1993,11.947443
45.25,7.75,1994,10.519647
45.25,7.75,1995,12.821146
45.25,7.75,1996,12.977584
45.25,7.75,1997,12.970624
45.25,7.75,1998,12.465864
45.25,7.75,1999,12.566443
45.25,7.75,2000,12.840371
45.25,7.75,2001,12.958808
45.25,7.75,2002,12.560449
45.25,7.75,2003,10.994357
45.25,7.75,2004,12.331207
45.25,7.75,2005,12.497759
45.25,7.75,2006,11.749338
45.25,7.75,2007,14.331189
45.25,7.75,2008,13.539415
45.25,7.75,2009,13.073162
45.25,7.75,2010,12.946649
45.25,7.75,2011,13.985386
45.25,7.75,2012,12.252767
45.25,7.75,2013,12.966295
45.25,7.75,2014,14.864918
45.25,7.75,2015,14.165333
45.25,7.75,2016,14.700575
45.25,8.25,1982,7.8947854
45.25,8.25,1983,7.6984673
45.25,8.25,1984,8.090475
45.25,8.25,1985,7.9181094
45.25,8.25,1986,8.383389
45.25,8.25,1987,7.9427505
45.25,8.25,1988,8.585591
45.25,8.25,1989,8.596439
45.25,8.25,1990,8.245167
45.25,8.25,1991,8.014196
45.25,8.25,1992,9.231249
45.25,8.25,1993,10.709281
45.25,8.25,1994,9.541054
45.25,8.25,1995,10.502317
45.25,8.25,1996,10.060581
45.25,8.25,1997,10.203968
45.25,8.25,1998,10.272185
45.25,8.25,1999,10.59866
45.25,8.25,2000,11.001925
45.25,8.25,2001,9.971852
45.25,8.25,2002,9.868835
45.25,8.25,2003,8.649189
45.25,8.25,2004,9.770093
45.25,8.25,2005,10.064922
45.25,8.25,2006,9.63376
45.25,8.25,2007,11.545056
45.25,8.25,2008,10.471172
45.25,8.25,2009,9.653683
45.25,8.25,2010,10.0893955
45.25,8.25,2011,10.9833145
45.25,8.25,2012,9.131436
45.25,8.25,2013,9.447025
45.25,8.25,2014,11.219624
45.25,8.25,2015,11.058107
45.25,8.25,2016,11.448814
45.25,8.75,1982,7.4523454
45.25,8.75,1983,7.11443
45.25,8.75,1984,7.515938
45.25,8.75,1985,7.451618
45.25,8.75,1986,7.8385925
45.25,8.75,1987,7.643692
45.25,8.75,1988,8.029929
45.25,8.75,1989,7.789548
45.25,8.75,1990,7.579788
45.25,8.75,1991,7.1860423
45.25,8.75,1992,8.422651
45.25,8.75,1993,9.449304
45.25,8.75,1994,8.724881
45.25,8.75,1995,8.991914
45.25,8.75,1996,9.033147
45.25,8.75,1997,9.382033
45.25,8.75,1998,9.491722
45.25,8.75,1999,9.863199
45.25,8.75,2000,9.866392
45.25,8.75,2001,9.235172
45.25,8.75,2002,8.970531
45.25,8.75,2003,7.6348305
45.25,8.75,2004,9.077119
45.25,8.75,2005,9.045328
45.25,8.75,2006,8.750618
45.25,8.75,2007,10.135839
45.25,8.75,2008,9.445282
45.25,8.75,2009,8.697513
45.25,8.75,2010,9.104973
45.25,8.75,2011,10.096181
45.25,8.75,2012,8.48453
45.25,8.75,2013,8.458775
45.25,8.75,2014,10.300087
45.25,8.75,2015,10.026464
45.25,8.75,2016,10.539215
45.25,9.25,1982,7.7360563
45.25,9.25,1983,7.7034097
45.25,9.25,1984,7.798367
45.25,9.25,1985,7.866405
45.25,9.25,1986,7.9174256
45.25,9.25,1987,7.951354
45.25,9.25,1988,8.113365
45.25,9.25,1989,7.921962
45.25,9.25,1990,7.865674
45.25,9.25,1991,7.2995367
45.25,9.25,1992,8.746915
45.25,9.25,1993,9.28972
45.25,9.25,1994,9.028493
45.25,9.25,1995,8.848564
45.25,9.25,1996,8.897226
45.25,9.25,1997,9.831635
45.25,9.25,1998,9.997562
45.25,9.25,1999,10.079098
45.25,9.25,2000,9.8537855
45.25,9.25,2001,9.966284
45.25,9.25,2002,9.809058
45.25,9.25,2003,7.5193744
45.25,9.25,2004,9.287946
45.25,9.25,2005,9.87492
45.25,9.25,2006,9.05294
45.25,9.25,2007,10.030924
45.25,9.25,2008,9.906023
45.25,9.25,2009,8.815323
45.25,9.25,2010,9.548258
45.25,9.25,2011,10.259916
45.25,9.25,2012,9.337094
45.25,9.25,2013,8.727313
45.25,9.25,2014,11.122245
45.25,9.25,2015,10.362915
45.25,9.25,2016,11.226969
45.25,9.75,1982,7.197248
45.25,9.75,1983,7.171934
45.25,9.75,1984,7.749546
45.25,9.75,1985,7.6675878
45.25,9.75,1986,7.3495517
45.25,9.75,1987,7.8395333
45.25,9.75,1988,7.5211377
45.25,9.75,1989,7.5896883
45.25,9.75,1990,7.6493707
45.25,9.75,1991,7.048901
45.25,9.75,1992,8.613195
45.25,9.75,1993,8.504513
45.25,9.75,1994,8.265135
45.25,9.75,1995,8.030483
45.25,9.75,1996,8.400325
45.25,9.75,1997,9.296396
45.25,9.75,1998,9.5164175
45.25,9.75,1999,9.384141
45.25,9.75,2000,9.21236
45.25,9.75,2001,8.938847
45.25,9.75,2002,9.121353
45.25,9.75,2003,7.2009125
45.25,9.75,2004,8.85514
45.25,9.75,2005,9.047577
45.25,9.75,2006,8.971935
45.25,9.75,2007,9.231681
45.25,9.75,2008,9.28776
45.25,9.75,2009,7.913054
45.25,9.75,2010,8.344208
45.25,9.75,2011,9.624128
45.25,9.75,2012,8.0587015
45.25,9.75,2013,7.7230864
45.25,9.75,2014,10.185125
45.25,9.75,2015,8.41411
45.25,9.75,2016,9.984463
45.25,10.25,1982,6.3558645
45.25,10.25,1983,6.3907986
45.25,10.25,1984,7.0226464
45.25,10.25,1985,6.906338
45.25,10.25,1986,6.91192
45.25,10.25,1987,7.587149
45.25,10.25,1988,7.1750817
45.25,10.25,1989,7.5590024
45.25,10.25,1990,7.3793936
45.25,10.25,1991,7.167967
45.25,10.25,1992,8.276565
45.25,10.25,1993,7.915104
45.25,10.25,1994,7.880272
45.25,10.25,1995,7.6147556
45.25,10.25,1996,8.187656
45.25,10.25,1997,8.988642
45.25,10.25,1998,8.983183
45.25,10.25,1999,8.968601
45.25,10.25,2000,8.920058
45.25,10.25,2001,8.540595
45.25,10.25,2002,8.900946
45.25,10.25,2003,6.5868053
45.25,10.25,2004,8.474784
45.25,10.25,2005,8.606363
45.25,10.25,2006,8.215906
45.25,10.25,2007,8.211514
45.25,10.25,2008,8.682085
45.25,10.25,2009,7.242279
45.25,10.25,2010,8.005288
45.25,10.25,2011,9.156913
45.25,10.25,2012,7.642012
45.25,10.25,2013,7.3264723
45.25,10.25,2014,9.06313
45.25,10.25,2015,7.6839294
45.25,10.25,2016,9.082784
45.25,10.75,1982,5.424332
45.25,10.75,1983,5.6715918
45.25,10.75,1984,6.293448
45.25,10.75,1985,6.126816
45.25,10.75,1986,6.3874793
