year,lat,lon,yield_wheat_spring,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
1997,45.75,11.25,3.9533167,12.822269071940504,616.9180227518082,0.34625518575213315,2464047702.0,1169.743797302246
1998,45.75,11.25,4.467485,12.908918175042844,607.9348331689835,0.3599798747527054,2392573299.0,1091.4691095352173
1999,45.75,11.25,4.431886,13.062570709029055,622.1784236431122,0.37093410675042593,2270077439.0,1015.2260055541992
2000,45.75,11.25,4.9378276,13.521868225795771,548.4347364902496,0.35918111018106047,2432243491.0,1138.901659488678
2001,45.75,11.25,3.7277281,13.348226456860312,630.383695602417,0.3627883499743892,2317512456.0,1091.4555954933167
2002,45.75,11.25,4.559192,13.292127147998686,835.7468765974045,0.3659914114506416,2301687156.0,1021.9040951728821
2003,45.75,11.25,4.2322335,14.403925711812537,370.40772545337677,0.32795027346392863,2533766663.0,1264.9522552490234
2004,45.75,11.25,4.5216427,12.197461530274035,605.9325551986694,0.37194035353224264,2293214689.0,1036.1876225471497
2005,45.75,11.25,5.390436,13.152711114073112,516.0193271636963,0.35893279177690646,2391482492.0,1106.2777347564697
2006,45.75,11.25,5.260936,13.285092821308211,382.55963480472565,0.3351213423644795,2381025071.0,1155.748190164566
2007,45.75,11.25,4.4329176,14.267912933249878,551.4340937137604,0.3523150335729512,2401567003.0,1136.7805333137512
2008,45.75,11.25,5.030631,12.939643323811051,704.2367677688599,0.3754740454792197,2276437259.0,1000.6841025352478
2009,45.75,11.25,5.4550962,13.646447390512703,657.1873117685318,0.35462039222125136,2337235752.0,1098.3138155937195
2010,45.75,11.25,4.7048216,13.005036391463934,746.7268509864807,0.37458208222794376,2253104989.0,1006.979327917099
2011,45.75,11.25,5.441255,13.670159358604282,582.7267506122589,0.35436850980995527,2412056195.0,1134.069372177124
2012,45.75,11.25,5.452665,13.733948018815783,601.9904594421387,0.3589932696492064,2435326268.0,1121.8016514778137
2013,45.75,11.25,4.942862,12.502208401175107,921.7562012672424,0.3810669064911362,2154686589.5,950.5789287090302
2014,45.75,11.25,4.886759,13.286584576750114,747.3424499034882,0.36997203285398045,2357725686.0,1066.801558971405
2015,45.75,11.25,4.5562096,14.4521633285323,505.08820271492004,0.35099027963245616,2365178732.0,1168.059066772461
2016,45.75,11.25,5.1729445,13.457114129284628,703.3486068248749,0.36922869183658774,2319532553.0,1069.9619884490967
1982,45.75,11.75,2.681696,14.03331731659135,507.0504837036133,0.3472664603610444,2185707877.0,709.9674060344696
1983,45.75,11.75,2.2983346,14.699026285433302,555.460855960846,0.34879587464083256,2247236021.0,719.4778652191162
1984,45.75,11.75,2.5273316,12.30124839146932,672.6874711513519,0.36958983443141763,2168713560.0,666.5089499950409
1985,45.75,11.75,2.9000125,13.41147296880585,702.5948300361633,0.37367669312782537,2124504105.0,652.7973759174347
1986,45.75,11.75,2.7848268,14.05710344376907,544.3555798530579,0.3642052077000437,2169489096.0,672.3252203464508
1987,45.75,11.75,3.5798364,12.859974113165164,594.449018239975,0.36567387588663036,2261377255.0,692.8638348579407
1988,45.75,11.75,2.2991743,13.892220518947427,673.5480196475983,0.3720676828833187,2200173971.0,671.8303878307343
1989,45.75,11.75,2.7057045,14.072546186010822,814.0140111446381,0.37426939100221873,2165457151.0,649.1949849128723
1990,45.75,11.75,2.6636932,14.461753639520383,561.5635604858398,0.352589243182949,2284367846.0,731.033118724823
1991,45.75,11.75,3.3378253,13.788681516460343,693.5578773021698,0.3628012837927326,2203478867.0,688.4631776809692
1992,45.75,11.75,3.5963724,14.126951283099604,546.8254553079605,0.3506354196788439,2200172366.0,694.9462382793427
1993,45.75,11.75,3.7295094,14.5423068844415,396.30273246765137,0.32238785484257865,2351071347.0,804.6987040042877
1994,45.75,11.75,2.965156,15.386825168834013,422.5913814306259,0.33906300765236996,2281206958.0,772.7505135536194
1995,45.75,11.75,2.6240087,13.829092480777915,658.625673532486,0.3603356539034376,2294168873.0,716.4219670295715
1996,45.75,11.75,3.3749893,13.941850967656553,484.4927453994751,0.34783462897624845,2279971681.0,743.4501373767853
1997,45.75,11.75,2.6194966,14.362539272682339,607.9698958396912,0.34324467571732264,2409007054.0,796.7646267414093
1998,45.75,11.75,3.1586065,14.357430398853776,603.8733946084976,0.35228970685815497,2333123666.0,753.144362449646
1999,45.75,11.75,3.1694176,14.682407550562441,593.296392917633,0.35783591126304826,2250139800.0,721.375030040741
2000,45.75,11.75,3.443999,15.240613395092534,501.16738629341125,0.3393789946643356,2395518253.0,808.3731307983398
2001,45.75,11.75,2.6495898,14.911716872570562,600.0088758468628,0.35425531279807,2264508136.0,748.3136961460114
2002,45.75,11.75,3.4019127,14.960235171847874,810.9853817224503,0.3657184708741755,2263190061.0,718.750417470932
2003,45.75,11.75,2.9201577,15.951594371421665,365.7411471605301,0.30806579796317357,2492044596.0,874.1799032688141
2004,45.75,11.75,3.2595031,13.923874904906828,594.4348962306976,0.36120101790023007,2281487774.0,728.6995260715485
2005,45.75,11.75,3.8886771,14.565415385501836,488.67121934890747,0.34918417981247496,2341587792.0,758.1309232711792
2006,45.75,11.75,3.839425,14.843751533358704,404.69653713703156,0.3283423104512146,2364490681.0,788.8393201828003
2007,45.75,11.75,3.1432095,15.770460509007274,530.2695574760437,0.34517571446942347,2394449629.0,799.033851146698
2008,45.75,11.75,3.5534134,14.45584276922388,689.0035724639893,0.37456702991248736,2242828137.0,700.4265422821045
2009,45.75,11.75,3.766124,15.252859857347277,622.4614372253418,0.34153902355362387,2324720675.0,772.4833536148071
2010,45.75,11.75,3.4152627,14.633823273228664,736.22980260849,0.3682794985817928,2234436123.0,706.7811644077301
2011,45.75,11.75,3.9920948,15.212486821841571,536.5920684337616,0.3396349163616405,2407793619.0,796.778600692749
2012,45.75,11.75,4.0021296,15.526370877533957,585.655659198761,0.3442110892604379,2394008845.0,801.1274166107178
2013,45.75,11.75,3.2799218,14.294092097313575,863.9240109920502,0.3754694428708818,2173390776.5,684.266134262085
2014,45.75,11.75,3.4380448,15.090283892513101,728.2713048458099,0.360907146938486,2316183277.0,746.1753742694855
2015,45.75,11.75,3.1110907,15.78095318289364,541.9376726150513,0.3463554121310415,2342267555.0,795.9391429424286
2016,45.75,11.75,3.631142,14.95497170928257,726.8707504272461,0.36541040270936254,2291534851.0,738.5653624534607
1982,46.25,11.75,3.8705542,7.78793530526504,771.8714122772217,0.34056033125889845,2010124564.0,1297.768840789795
1983,46.25,11.75,3.559384,8.68323276089687,778.0919315814972,0.3408733133007498,2098022797.0,1367.1833028793335
1984,46.25,11.75,2.9051876,6.1979467144199445,760.773848772049,0.3373219643542969,1965513614.0,1257.2230777740479
1985,46.25,11.75,4.0111856,7.214626614564384,927.5121021270752,0.3504668485884573,1928318735.5,1180.1262600421906
1986,46.25,11.75,3.916549,7.998590877632689,859.8619205951691,0.3463587538868773,1979094715.0,1180.0863637924194
1987,46.25,11.75,4.7233176,6.545700003119076,954.3741588592529,0.3495315385410209,2017130661.0,1227.585711479187
1988,46.25,11.75,3.3211217,7.538984456872629,862.3687815666199,0.34590954757204245,2039078151.0,1173.29714345932
1989,46.25,11.75,3.0987036,7.736737142201343,1046.5687276124954,0.357123499991847,2029134535.0,1184.8365626335144
1990,46.25,11.75,3.9668727,8.56269295542848,805.3683109283447,0.3471353309216842,2195403508.0,1396.588345527649
1991,46.25,11.75,4.5996966,7.701892760844013,912.522305727005,0.3562990411434298,2016844645.0,1244.664303302765
1992,46.25,11.75,4.63686,8.195580387427137,882.2236144542694,0.34785426111003154,2043855855.0,1213.8907709121704
1993,46.25,11.75,4.8244977,8.086812236340217,705.856397986412,0.3427665443981395,2212579774.0,1395.2829689979553
1994,46.25,11.75,4.3836584,9.268891691382414,706.6596727371216,0.3461139124203352,2215273306.0,1452.741072177887
1995,46.25,11.75,4.2206616,7.7739872418197935,791.5505969524384,0.34367040909972846,2176821984.0,1365.5926351547241
1996,46.25,11.75,5.262472,7.732802713618559,750.8429155349731,0.3407595225798538,2176572399.5,1350.8862404823303
1997,46.25,11.75,3.830014,8.336841630000695,837.6815683841705,0.34716130004209633,2312615728.0,1512.640733718872
1998,46.25,11.75,4.2510824,8.369129199023341,918.9459795951843,0.35031188800444013,2199861453.0,1369.7980852127075
1999,46.25,11.75,4.3907347,8.463574967353173,899.2115345001221,0.3557314477325265,2108640347.0,1285.06871175766
