lat,lon,year,soil_water
45.25,7.25,1983,0.33395615
45.25,7.25,1984,0.32464844
45.25,7.25,1985,0.32185912
45.25,7.25,1986,0.33785072
45.25,7.25,1987,0.32089758
45.25,7.25,1988,0.33579382
45.25,7.25,1989,0.3254122
45.25,7.25,1990,0.30653945
45.25,7.25,1991,0.29443908
45.25,7.25,1992,0.33146948
45.25,7.25,1993,0.33003625
45.25,7.25,1994,0.33244506
45.25,7.25,1995,0.33441967
45.25,7.25,1996,0.33456457
45.25,7.25,1997,0.32364696
45.25,7.25,1998,0.31238833
45.25,7.25,1999,0.3392954
45.25,7.25,2000,0.32018372
45.25,7.25,2001,0.32025498
45.25,7.25,2002,0.34314454
45.25,7.25,2003,0.29191238
45.25,7.25,2004,0.31612438
45.25,7.25,2005,0.32253516
45.25,7.25,2006,0.30862978
45.25,7.25,2007,0.32116348
45.25,7.25,2008,0.34511805
45.25,7.25,2009,0.3332936
45.25,7.25,2010,0.3347035
45.25,7.25,2011,0.3308021
45.25,7.25,2012,0.3383879
45.25,7.25,2013,0.33155394
45.25,7.25,2014,0.3397599
45.25,7.25,2015,0.32922292
45.25,7.25,2016,0.32969642
45.25,7.75,1982,0.38241103
45.25,7.75,1983,0.37922668
45.25,7.75,1984,0.37930542
45.25,7.75,1985,0.3598774
45.25,7.75,1986,0.37405458
45.25,7.75,1987,0.35667592
45.25,7.75,1988,0.3873252
45.25,7.75,1989,0.34025037
45.25,7.75,1990,0.34135965
45.25,7.75,1991,0.32902175
45.25,7.75,1992,0.3862214
45.25,7.75,1993,0.37612367
45.25,7.75,1994,0.3716545
45.25,7.75,1995,0.37534034
45.25,7.75,1996,0.37917334
45.25,7.75,1997,0.35229126
45.25,7.75,1998,0.35461473
45.25,7.75,1999,0.38103077
45.25,7.75,2000,0.372255
45.25,7.75,2001,0.36738572
45.25,7.75,2002,0.40866065
45.25,7.75,2003,0.29828638
45.25,7.75,2004,0.33277744
45.25,7.75,2005,0.37075242
45.25,7.75,2006,0.32710963
45.25,7.75,2007,0.36873525
45.25,7.75,2008,0.38750893
