lat,lon,year,solar_radiation
45.25,8.75,2009,63341353584.0
45.25,8.75,2010,59273920320.0
45.25,8.75,2011,62410268016.0
45.25,8.75,2012,60476988096.0
45.25,8.75,2013,61570767144.0
45.25,8.75,2014,58793903664.0
45.25,8.75,2015,59622721824.0
45.25,8.75,2016,62069971896.0
45.25,9.25,1982,57761088432.0
45.25,9.25,1983,58019892552.0
45.25,9.25,1984,56915233248.0
45.25,9.25,1985,59550486744.0
45.25,9.25,1986,59004431472.0
45.25,9.25,1987,60501020808.0
45.25,9.25,1988,58547766168.0
45.25,9.25,1989,61030088496.0
45.25,9.25,1990,60849067776.0
45.25,9.25,1991,61523036784.0
45.25,9.25,1992,58730650392.0
45.25,9.25,1993,60262943280.0
45.25,9.25,1994,59312506176.0
45.25,9.25,1995,60141105432.0
45.25,9.25,1996,58716331104.0
45.25,9.25,1997,60391074696.0
45.25,9.25,1998,62173992096.0
45.25,9.25,1999,58120145112.0
45.25,9.25,2000,61829854008.0
45.25,9.25,2001,61922209632.0
45.25,9.25,2002,56692408776.0
45.25,9.25,2003,64789901280.0
45.25,9.25,2004,62196979344.0
45.25,9.25,2005,60825310080.0
45.25,9.25,2006,63863810640.0
45.25,9.25,2007,61133891160.0
45.25,9.25,2008,58716349536.0
45.25,9.25,2009,63569200320.0
45.25,9.25,2010,58965174432.0
45.25,9.25,2011,62336007264.0
45.25,9.25,2012,60505614792.0
45.25,9.25,2013,61800541992.0
45.25,9.25,2014,58787955504.0
45.25,9.25,2015,59799841680.0
45.25,9.25,2016,62183953536.0
45.25,9.75,1982,57993250056.0
45.25,9.75,1983,58451333952.0
45.25,9.75,1984,57310723440.0
45.25,9.75,1985,59649004128.0
45.25,9.75,1986,59575228392.0
45.25,9.75,1987,60881935920.0
45.25,9.75,1988,58600813392.0
45.25,9.75,1989,60486662760.0
45.25,9.75,1990,60853404888.0
45.25,9.75,1991,61452859536.0
45.25,9.75,1992,59482767552.0
45.25,9.75,1993,60566973744.0
45.25,9.75,1994,59615838648.0
45.25,9.75,1995,60223389672.0
