year,lat,lon,yield_wheat_spring,temperature,precipitation,soil_water,solar_radiation,potential_evaporation,temperature_Mar,temperature_Apr,temperature_May,temperature_Jun,temperature_Jul,precipitation_Mar,precipitation_Apr,precipitation_May,precipitation_Jun,precipitation_Jul,soil_water_Mar,soil_water_Apr,soil_water_May,soil_water_Jun,soil_water_Jul,solar_radiation_Mar,solar_radiation_Apr,solar_radiation_May,solar_radiation_Jun,solar_radiation_Jul,potential_evaporation_Mar,potential_evaporation_Apr,potential_evaporation_May,potential_evaporation_Jun,potential_evaporation_Jul
2007,45.25,11.75,2.572678,18.501125248429044,361.08085000514984,0.29665031571403827,2580169497.0,928.5071682929993,10.193224,15.924062,19.356602,22.07962,24.984423,116.0301628112793,7.363632917404175,108.19687390327454,91.69645071029663,37.7937296628952,0.3681067,0.30421144,0.2926227,0.3232727,0.19614075,337260563.0,519867240.0,555590370.0,539039040.0,628412284.0,105.4251618385315,166.20366096496582,194.11857318878174,191.07988357543945,271.67988872528076
2008,45.25,11.75,3.184483,17.002841475742315,474.85141146183014,0.3437538487848893,2411823227.0,783.4046401977539,8.835466,12.535565,17.844042,21.700937,24.105642,92.20555877685547,98.16977977752686,117.91693115234375,112.4424934387207,54.11664831638336,0.38015443,0.37851316,0.33801514,0.35838684,0.26529297,332014309.0,419570460.0,543367256.0,537758280.0,579112922.0,103.83574724197388,120.29660224914551,176.2684941291809,169.7277545928955,213.2760419845581
2009,45.25,11.75,2.6704211,17.777160925023697,368.2058009505272,0.3036250129244686,2492868272.0,870.3547921180725,8.689525,14.005781,19.721079,21.903767,24.577112,108.71107149124146,126.02007865905762,29.484489619731903,43.92440915107727,60.065752029418945,0.36610106,0.38118714,0.30783996,0.23156616,0.23160827,345572810.0,422100390.0,594917776.0,546150000.0,584127296.0,95.96160840988159,130.0089454650879,195.19097423553467,218.27460765838623,230.91865634918213
2010,45.25,11.75,2.933628,16.83940879348057,502.83042204380035,0.3478824408615337,2429265769.0,774.1705942153931,7.9749155,13.127525,16.936262,21.235916,24.94451,70.12603807449341,71.64738178253174,158.19684839248657,152.15739727020264,50.702756524086,0.39486998,0.37571654,0.37409425,0.34958497,0.24609926,306645769.0,472678650.0,513608434.0,542870280.0,593462636.0,87.86248826980591,136.97028636932373,159.84703159332275,174.51516151428223,214.97562646865845
2011,45.25,11.75,3.1227639,17.55051422742457,365.87606632709503,0.2987126201586007,2590664236.0,895.6990416049957,8.602426,15.007803,19.112919,21.86425,23.222303,82.96646928787231,19.303084015846252,54.6404504776001,118.32866191864014,90.63740062713623,0.38506836,0.3039746,0.24249086,0.29748473,0.2646747,345775612.0,518312160.0,608234260.0,546509880.0,571832324.0,95.91230320930481,161.9494915008545,221.02308559417725,195.96171855926514,220.85244274139404
2012,45.25,11.75,3.078476,18.655772576924242,303.6191848963499,0.272890644135818,2568272107.0,1001.2431168556213,11.656317,12.826642,17.972378,24.08727,26.723429,7.102796718478203,112.61062145233154,99.07142806053162,43.807947635650635,41.02639102935791,0.28406006,0.3405597,0.32219544,0.24790466,0.17111024,429085477.0,401089770.0,561102852.0,577880940.0,599113068.0,133.78395223617554,131.92008018493652,192.84484195709229,237.2651767730713,305.4290657043457
2013,45.25,11.75,2.482552,16.47638523189071,592.7165333032608,0.35394204568629173,2376469883.0,749.2323944568634,7.4261794,13.192957,16.136734,20.708014,24.94863,187.2051134109497,91.49065017700195,208.32444286346436,74.16862964630127,31.527697205543518,0.40956908,0.388125,0.39968443,0.33984867,0.2331311,275842650.0,413945040.0,483877109.0,590817840.0,611987244.0,73.20919108390808,118.33272457122803,149.89593982696533,184.9333620071411,222.86117696762085
2014,45.25,11.75,2.7999854,17.445102934743844,606.0930888652802,0.3292863224846086,2481732113.0,805.8682413101196,10.751317,14.559332,17.106684,22.368351,22.505556,66.2166256904602,107.31084823608398,70.01049494743347,60.586745738983154,301.96837425231934,0.37184507,0.33893982,0.3346808,0.25945312,0.33957154,382437483.0,435459660.0,566355678.0,575686920.0,521792372.0,105.58193922042847,129.90961074829102,183.47516870498657,212.3452663421631,174.5562562942505
2015,45.25,11.75,2.6703076,18.28016992955426,343.82094633579254,0.30491965132601123,2538283042.0,908.8976674079895,9.285881,13.293917,18.469885,22.79283,27.54306,77.53971910476685,45.99356174468994,78.51756739616394,97.2329306602478,44.53716742992401,0.37592593,0.33493227,0.3195874,0.29305786,0.2016803,360765135.0,486801420.0,505248075.0,586952280.0,598516132.0,109.13189888000488,148.4908390045166,170.8880410194397,211.25877857208252,269.1281099319458
2016,45.25,11.75,3.0013683,17.463091800415437,479.97617745399475,0.3334182639137592,2489974301.0,836.6690039634705,9.608998,14.115782,16.830425,21.318909,25.457748,83.94310545921326,45.420377254486084,159.01182174682617,142.36109733581543,49.23977565765381,0.37609985,0.3184668,0.36257142,0.37178588,0.23892272,348238593.0,457054860.0,529908854.0,567294900.0,587477094.0,110.83880043029785,144.30503368377686,165.73484563827515,180.53142070770264,235.25890350341797
1982,45.75,7.75,2.888558,5.969611432817247,615.5358340740204,0.3534306034543156,1896958209.5,675.2158722877502,-3.5164635,0.9308752,5.9343395,11.719854,14.802403,114.70497560501099,62.4131441116333,120.7805278301239,135.61798095703125,182.01920557022095,0.31736022,0.366543,0.38358277,0.35760316,0.34262145,176519378.5,302206260.0,381975955.0,508153140.0,528103476.0,57.432679891586304,96.18892192840576,116.44940114021301,187.83283710479736,217.3120322227478
1983,45.75,7.75,3.004616,6.2570753974073074,986.0941710472107,0.3673768339593426,1649347671.5,571.529764175415,-0.8033851,1.1037341,4.576339,10.223407,16.146992,124.12026596069336,272.65448570251465,309.7933187484741,165.97423553466797,113.5518651008606,0.3341565,0.37670895,0.40014037,0.37601867,0.35043946,192892927.5,204806715.0,280341277.0,425272380.0,546034372.0,67.4519534111023,58.39534521102905,79.10350179672241,137.9082727432251,228.67069101333618
1984,45.75,7.75,2.8184783,4.483656894537359,758.1460973024368,0.3513069828740912,1765563098.5,631.2416353225708,-3.8787587,0.48631105,2.9108632,9.09141,13.82815,97.98401594161987,95.43303966522217,346.6484203338623,164.8205280303955,53.260093331336975,0.33090758,0.3585754,0.40727296,0.3789874,0.28191894,191626469.0,287669460.0,252644001.5,438384480.0,595238688.0,56.98313117027283,99.538893699646,65.02452778816223,139.4749116897583,270.22017097473145
1985,45.75,7.75,3.3128524,5.56294791838702,787.8445811271667,0.35592445477940676,1858942980.0,653.9365376234055,-3.2651749,1.487107,5.442033,9.429221,14.714793,169.9636368751526,63.08330297470093,309.376615524292,138.96828174591064,106.4527440071106,0.32982546,0.3645636,0.39007387,0.36756837,0.32824525,167052521.0,329139540.0,319424341.0,482952660.0,560373918.0,52.23730790615082,101.76204442977905,96.09300518035889,171.77862167358398,232.06555843353271
