year,lat,lon,yield_wheat_winter,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
2011,44.75,11.75,2.7101932,10.826086249233278,519.1339782476425,0.3336915778965989,2623643610.75,874.4845541715622
2012,44.75,11.75,2.649928,10.930223877047315,339.3184691518545,0.2771607503724196,2619340955.5,983.3892185688019
2013,44.75,11.75,2.493764,10.10091509011166,761.2472513914108,0.36999701566932613,2396689287.5,718.8650629520416
2014,44.75,11.75,2.6467013,12.151664954571684,600.8051367402077,0.33772588428879574,2546009557.5,857.5973981618881
2015,44.75,11.75,3.146882,11.885390342759692,616.6036491990089,0.34597036525730257,2556842958.5,861.4838655591011
2016,44.75,11.75,2.8052878,11.5273359204516,557.8121382668614,0.33073232963742544,2575132419.5,835.6344417929649
1982,45.25,6.75,3.5345533,-3.392982619853059,832.7451212406158,0.40755355555163925,1530385929.625,410.6192736029625
1983,45.25,6.75,2.999747,-3.789128214367165,1112.7983877658844,0.4064544074791522,1183998002.25,281.9140385389328
1984,45.25,6.75,4.0698237,-4.643968014069546,965.8279521465302,0.41134373579986794,1310262967.0,319.4235252439976
1985,45.25,6.75,4.783949,-4.227026785700774,855.9608646631241,0.41063554043119604,1360467450.75,344.7214948385954
1986,45.25,6.75,4.0971713,-4.053053486445719,1023.3448629379272,0.38845408418454414,1358105175.75,345.60382694005966
1987,45.25,6.75,3.6033466,-4.131969779976143,744.4747762680054,0.397136090708173,1433695183.5,381.89945289492607
1988,45.25,6.75,4.2137365,-3.039378322691584,975.527069568634,0.4107431598896843,1350051314.875,324.22631776332855
1989,45.25,6.75,5.12149,-2.1816354911189433,688.7602282166481,0.4090932080568361,1700470613.5,476.0734519958496
1990,45.25,6.75,3.9410095,-2.20992480920366,844.8737775087357,0.39559060285899267,1569117012.5,448.73096919059753
1991,45.25,6.75,4.596402,-4.46410913796218,731.5973677635193,0.4035342792587832,1419951561.875,352.595931455493
1992,45.25,6.75,3.446562,-3.16825095714365,828.379767537117,0.41159211681703484,1474772811.25,367.1158218383789
1993,45.25,6.75,5.1397443,-2.1619682292307703,765.8810093402863,0.4081322198564356,1597639359.375,410.37957829236984
1994,45.25,6.75,5.186611,-2.8690159552353474,923.218347966671,0.4102751776452892,1421362610.375,370.7607892751694
1995,45.25,6.75,4.6735263,-2.874198474667289,1071.5606727600098,0.4096296771991351,1362385066.25,349.8527411520481
1996,45.25,6.75,5.288797,-3.3830600873923595,761.6302791833878,0.3986550416230174,1575818201.25,423.51019182801247
1997,45.25,6.75,5.025084,-2.42774839243613,927.5528698563576,0.4103788432996135,1527124678.25,414.49856351315975
1998,45.25,6.75,5.6669683,-2.695660431522968,773.391863822937,0.3907168540826514,1596777291.75,459.85233572125435
1999,45.25,6.75,5.3761396,-3.717766360803084,870.211926817894,0.40485298424220284,1452906948.75,399.54150557518005
2000,45.25,6.75,5.82856,-3.175565813794548,780.4917182028294,0.40122418307963714,1588906141.875,450.05874279141426
2001,45.25,6.75,5.4344993,-2.8631513207411965,992.3833477497101,0.4017582277128519,1419557481.125,381.9010777026415
2002,45.25,6.75,5.279521,-2.968828482076156,773.0451767444611,0.3975162469158488,1566131816.75,441.79056799411774
2003,45.25,6.75,4.9937706,-2.4462313070770136,755.6255528330803,0.4021666532705638,1705027490.875,508.7661902010441
2004,45.25,6.75,5.0921564,-3.3346946352303273,800.5481199026108,0.38743123583832884,1455737432.5,384.88559597730637
